"ID_plata"	"Date_Time"	"payment_type"	"amount"	"currency"	"language"	"receiverID"	"result"	"result_code"	"ID_F"	"CONFIRMATION_code"	"hash"
"BXf+PNwxPKr1/eo=            "	"6.6.2015 10:01:22"	"V"	"10000"	"498"	"ro"	"919 "	"OK"	"0"	"28696    "	"193019"	"c1c66b7ad4c9fd3750fa2df55961a96b"
"ys22VQL/FHcwyVI=            "	"6.6.2015 10:01:22"	"V"	"15000"	"498"	"ro"	"707 "	"OK"	"0"	"28721    "	"310015"	"444bd169b5383291bad703f2f0c68a11"
"ADzsg52Qq2+NMkg=            "	"6.6.2015 10:01:41"	"V"	"26000"	"498"	"ro"	"919 "	"OK"	"0"	"28727    "	"310025"	"796a1992549cd15b7a35d827d0a1775e"
"0JrbhPAjylYc3PI=            "	"6.6.2015 10:01:53"	"V"	"10000"	"498"	"ro"	"919 "	"OK"	"0"	"28715    "	"310011"	"1137d92e3da6148576ff44c1cc3e927a"
"2gAKB2EWYKVA2IY=            "	"6.6.2015 10:02:41"	"V"	"5000"	"498"	"ro"	"919 "	"OK"	"0"	"28775    "	"806615"	"c1c66b7ad4c9fd3750fa2df55961a96b"
"3xSpdVsGkWUvo58=            "	"6.6.2015 10:02:56"	"V"	"13000"	"498"	"ru"	"919 "	"OK"	"0"	"28822    "	"220145"	"34d55ef3462c2428f943cdf10fa66158"
"a4Hqu16pAmEaVIk=            "	"6.6.2015 10:02:56"	"V"	"25700"	"498"	"ro"	"919 "	"OK"	"0"	"28846    "	"712068"	"44c0be1b7d46457b30216f1c239e06ef"
"AfKm1SCgQUMDDZA=            "	"6.6.2015 10:03:05"	"V"	"5000"	"498"	"ro"	"707 "	"OK"	"0"	"28835    "	"098340"	"eae9faf46ef54035b5f924523a1a1b94"
"r6+8L3Ed7rTdS+Q=            "	"6.6.2015 10:03:08"	"V"	"10000"	"498"	"ro"	"919 "	"OK"	"0"	"28818    "	"310187"	"ea8723a20e834f7ea3f7826c0980cb3f"
"sp6bUJBXb59LQog=            "	"6.6.2015 10:03:47"	"V"	"2000"	"498"	"ro"	"707 "	"OK"	"0"	"28855    "	"220170"	"d70dc0a7a14104b6e016940b25e83988"
"hQmX7LogHuh2OXQ=            "	"6.6.2015 10:04:48"	"V"	"5000"	"498"	"ro"	"919 "	"OK"	"0"	"28916    "	"310358"	"ea8723a20e834f7ea3f7826c0980cb3f"
"w8ZHqBxgkABdgKw=            "	"6.6.2015 10:05:41"	"V"	"5000"	"498"	"ro"	"707 "	"OK"	"0"	"29039    "	"049694"	"eae9faf46ef54035b5f924523a1a1b94"
"EelCYyODyScABNA=            "	"6.6.2015 10:05:42"	"V"	"30000"	"498"	"ro"	"919 "	"FAILED"	"122"	"29228    "	""	"658a02c6d909301e919d19d68645609e"
"CrzKdHH2aob/XQk=            "	"6.6.2015 10:05:45"	"V"	"10000"	"498"	"ro"	"919 "	"OK"	"0"	"29095    "	"502240"	"f1ada4a9b52f49f9d7384d7f423c61ef"
"6Ucvn9RmtMjKdTU=            "	"6.6.2015 10:05:50"	"V"	"3000"	"498"	"ro"	"919 "	"OK"	"0"	"29057    "	"310557"	"ea8723a20e834f7ea3f7826c0980cb3f"
"hBsXK4MXaHWmeXQ=            "	"6.6.2015 10:06:57"	"V"	"10000"	"498"	"ru"	"892 "	"FAILED"	"116"	"0229234    "	"201836"	"621da185475384539347f5c027a1051d"
"7sXR0UyhCPCuceM=            "	"6.6.2015 10:07:51"	"V"	"5000"	"498"	"ro"	"919 "	"OK"	"0"	"29175    "	"310735"	"ea8723a20e834f7ea3f7826c0980cb3f"
"Vsfu4GXdNYmxr7U=            "	"6.6.2015 10:08:43"	"V"	"27000"	"498"	"ro"	"707 "	"OK"	"0"	"29272    "	"220428"	"b2358974e9abea7f1a9e44751f5df29"
"JC2GBEu6jRN0Hwo=            "	"6.6.2015 10:09:08"	"V"	"24000"	"498"	"ru"	"707 "	"OK"	"0"	"29301    "	"310933"	"31dbe0c69082d5ab380891b587fed606"
"d2rLLWrRsKO5dxA=            "	"6.6.2015 10:09:29"	"V"	"22000"	"498"	"ro"	"707 "	"OK"	"0"	"29358    "	"311006"	"ef1b6ac37f926487d05c9a2040adbcc3"
"TfBgJV+ehMa0HYA=            "	"6.6.2015 10:09:43"	"V"	"30000"	"498"	"ro"	"919 "	"FAILED"	"122"	"29368    "	""	"658a02c6d909301e919d19d68645609e"
"Ag8H5e93JxsagYc=            "	"6.6.2015 10:10:30"	"V"	"26000"	"498"	"ro"	"919 "	"OK"	"0"	"29446    "	"311143"	"24af9ef3c1be5a14f27c71f9b50b37b7"
"lFNwFQm2LBZMlYU=            "	"6.6.2015 10:11:05"	"V"	"2000"	"498"	"ro"	"707 "	"OK"	"0"	"29422    "	"311111"	"91fa96e35bd4380f3160afef47a9cfb1"
